unit_id,avg_unit_allegations_per_officer_per_year,sd_unit_allegations_per_officer_per_year,unit_count,description
2,0.5685844557360609,0.7876510150859101,2288,District 001
3,1.0162596946401676,1.1245687970839178,3255,District 002
4,1.137868723855227,1.144612790973989,2901,District 003
5,1.2147474631184896,1.3018538981120054,2325,District 004
6,1.1647162339802362,1.1557437185717645,2639,District 005
7,1.3462010671281308,1.5677818829860621,2785,District 006
8,1.568012723248728,2.1360334514274024,3527,District 007
9,1.121314547002597,1.3616401654424735,2516,District 008
10,1.0736722848246238,1.068822784827741,2469,District 009
11,0.9826762997263121,0.9914234882051491,2219,District 010
12,1.1823467257597708,1.2683569344073344,3194,District 011
13,0.8550892134959773,0.993019675530463,2295,District 012
14,0.724501263819396,0.7326091921616702,1732,District 013
15,1.0463597137785015,1.039996095694933,2130,District 014
16,1.2685386467143192,1.7189101935619016,2574,District 015
17,0.7138452549121945,0.7707782900882315,1771,District 016
18,0.8347960047525378,0.9362625508647258,1699,District 017
19,0.8278860479906587,0.9225208824012735,2514,District 018
20,0.7698051807903318,0.9664902775789289,2176,District 019
21,0.8391890726816642,0.7819387821513915,1815,District 020
22,0.8474521278683931,1.0758737419588897,1877,District 021
23,0.9765330170781481,1.2138075564623438,2542,District 022
24,0.8330969592774761,0.8428412030834634,1561,District 023
25,0.9954010726900702,1.014705694651423,1639,District 024
26,1.1129677332480263,1.3298206863932387,2079,District 025
